Quantity,Description,VALUE,Footprint,Designator,DNP,FUNCTION,MFT,MPN,RATING,Manufacturer,Manufacturer Part Number,LOAD,Resistance (Ohms),ALT MFT,ALT MFT1,ALT MFT2,ALT MPN,ALT MPN1,ALT MPN2,ALT_MPN1,TYPE
"1","TVS DIODE 33VWM 53.3VC SMB","SMBJ33A-TP","DO-214AA, SMB","D13","","Analog Inputs","Micro Commercial Co","SMBJ33A-TP","33V","","","","","","","","","","","","Surface Mount"
"1","LED RED 0402 SMD","Red","LED0402(RED)","D14","","Top","Vishay Semiconductor Opto Division","VLMS1500-GS08","","","","","","","Y.Lin Elect.","","","YLS0402/R/21/05 C","","","SMD"
"1","LED BLUE 0402 SMD","Blue","LED0402(BLUE)","D101","","Top","Vishay Semiconductor Opto Division","VLMB1500-GS08","","","","","","","Y.Lin Elect","","","YLS0402/B/21/05 C","","","SMD"
"1","TVS Diodes - Transient Voltage Suppressors 22Vr 400W 11.3A 5% BiDirectional","SMAJ22CA","DO-214AC","D801","","analog outputs","Littelfuse","SMAJ22CA","22 V","","","","","Bytesonic","","","SMAJ22CA","","","","SMD/SMT"
"1","DIODE SCHOTTKY 20V 0.5A SOD123","MBR0520L","SOD123","D901","","Relay","ON Semiconductor","MBR0520L","20V 500MA","","","","","","Bytesonic","","","B0520W","","","SMD"
"1","FUSE BOARD MOUNT 5A 250VAC RAD","5A","SS-5-5A-AP","F101","","Top","Eaton Bussmann","SS-5-5A-AP","","","","","","","","","","","","","Through-Hole"
"1","RF Connectors / Coaxial Connectors SMT MALE RECEPT AU","U.FL-R-SMT-1(80)","HIROSE_U.FL-R-SMT","J1","","JN5169 MOD","Hirose","U.FL-R-SMT-1(80)","","","","","","","","","","","","","SMD"
"1","CONN HEADR BRKWAY .100 3POS STR","5-146280-3","5-146280-3","J2","DNP","Top","TE Connectivity AMP Connectors","5-146280-3","","","","","","","","","","","","","TH"
"1","CONN HEADER VERT .100 16POS 15AU","87227-8","87227-8","J3","DNP","Top","TE Connectivity AMP Connectors","87227-8","","","","","","","","","","","","","SMD"
"1","","","0603 Jumper","J4","","Jennic Top blk","","","","","","","","","","","","","","",""
"1","","","JN516X PINOUT","Jennic pinout","","JN5169 MOD","","","","","","","","","","","","","","",""
"1","General Purpose Relays 16A 12VDC SPDT CLASS B","ALZ12B12","ALZ12B12 (custom)","K901","","Relay","Panasonic Industrial Devices","ALZ12B12","","","","","","","TE connectivity","Hongfa","","RZ03-1C4-D012","HF115F/012-1ZS3A","","Through Hole"
"1","FIXED IND 3NH 190MA 400 MOHM SMD","3nH","INDC1005X45N","L3","","JN5169 MOD","Murata","LQP15MN3N0B02D","","","","","","","","","","","","","SMD"
"1","FIXED IND 4.3NH 160MA 600 MOHM","4.3nH","INDC1005X45N","L4","","JN5169 MOD","Murata","LQP15MN4N3B02D","","","","","","","","","","","","",""
"1","Inductor RF Chip ThFIXED IND 5.1NH 140MA 700 MOHM","5.1nH","INDC1005X45N","L5","","JN5169 MOD","Murata","LQP15MN5N1B02D","","","","","","","","","","","","","SMD"
"1","FIXED IND 2.7NH 220MA 300 MOHM","2.7nH","INDC1005X45N","L6","","JN5169 MOD","Murata","LQP15MN2N7B02D","","","","","","","","","","","","","SMD"
"1","FERRITE CHIP 120 OHM 0805","120 Ohm","0805 INDUCTOR","L201","","Jennic Top blk","Murata Electronics North America","BLM21PG121SN1D","3A","","","","","","","","","","","","Surface Mount"
"1","FIXED IND 2.2UH 1.5A 72 MOHM SMD","2.2uH","NR3015","L401","","Power Supply","Taiyo Yuden","NR3015T2R2M","","","","","","","","","","","","","Surface Mount"
"1","","2213730-1","LIGHTCTRL_2213730-1_2213730-1(Primary)","P100","","Top","TE Connectivity","2213730-1","","","","","","","","","","","","","TH"
"1","TRANS 2PNP 15V 0.5A SOT666","PBSS3515VS,115","SOT50P160X60-6N","Q1","","Switch","Nexperia USA Inc.","PBSS3515VS,115","15V","","","","","","","","","","","","SMD"
"1","IC INDCT LOAD DRVR AUTO SOT23","NUD3124LT1G","SOT-23-3","Q2","","Switch","ON Semiconductor","NUD3124LT1G","","","","","","","","","","","","","Surface Mount"
"1","IC INDCT LOAD DRVR AUTO SOT23","NUD3124LT1G","SOT-23-3","Q4","","Relay","ON Semiconductor","NUD3124LT1G","","","","","","","","","","","","","Surface Mount"
"4","RES SMD 1K OHM 1% 1/10W 0402","1k","R0402","R1, R50, R105, R801","","Top, analog outputs","Panasonic Electronic Components","ERJ-2RKF1001X","0.1W, 1/10W","","","","","","","","","","","","Surface Mount"
"5","RES SMD 3.3K OHM 1% 1/16W 0402","3.3k","R0402","R2, R4, R25, R277, R1777","","Energy Meter, Relay","Vishay Dale","CRCW04023K30FKED","1/16W","","","","","","","","","","","","SMD"
"2","RES SMD 4.7K OHM 1% 1/10W 0402","4.7k","R0402","R3, R201","","Energy Meter, Jennic Top blk","Panasonic Electronic Components","ERJ-2RKF4701X","0.1W, 1/10W","","","","","","","","","","","","Surface Mount"
"1","RES SMD 1K OHM 1% 1/16W 0402","1k","R0402","R5","","Switch","Vishay Dale","CRCW04021K00FKED","0.063W","","","","","","","","","","","","SMD"
"1","RES SMD 0.0 OHM JUMPER 1/8W 0805","0.0","R0805","R6","","Power Supply","Yageo","9C08052A0R00JLHFT","Jumper","","","","","","","","","","","","Surface Mount"
"1","RES 3 OHM 1% 1/16W 0402","3","R0402","R7","","Switch","YAGEO","RC0402FR-073RL","1/16W","","","","","","","","","","","","SMD"
